题号    答案           四则运算式子
1        44'1/3**      1 × 7 × (7 － 2/3) ＝ 
2        6*******      2 － 1 ＋ (6 － 1) ＝ 
3        16'1/2**      4 ＋ (2 ＋ 3) ÷ 2/5 ＝ 
4        0*******      0 － 0 ÷ (1 ÷ 5) ＝ 
5        19******      (9 － 5/9) × 2 ÷ 8/9 ＝ 
6        8*******      7 × (3 ＋ 5) ÷ 7 ＝ 
7        8'1/2***      6 ÷ (4 × 3) ＋ 8 ＝ 
8        1*******      1 ＋ (3 － (9 － 6)) ＝ 
9        1/3*****      2 ÷ (6 ÷ 1 × 1) ＝ 
10       5'1/2***      3 － 2 ＋ 9 ÷ 2 ＝ 
11       0*******      (9 ＋ (0 ＋ 1)) × 0 ＝ 
12       11******      5 ＋ 3 ÷ 2 × 4 ＝ 
13       1*******      7 ÷ (9 － 9 ＋ 7) ＝ 
14       7'1/4***      5 ÷ 1 × 1'1/4 ＋ 1 ＝ 
15       7*******      5 ÷ 5 × (3 ＋ 4) ＝ 
16       23******      6 × 4 － 8 ＋ 7 ＝ 
17       16******      8 × (3 ÷ 3) × 2 ＝ 
18       2'2/5***      8 － 6 － 1/2 ＋ 9/10 ＝ 
19       18'5/9**      9 ＋ (1 × 9 ＋ 5/9) ＝ 
20       10******      2 ÷ 4 × (5 × 4) ＝ 
21       7'1/2***      6 ＋ 7 － (9 － 3'1/2) ＝ 
22       19******      9 ＋ (1 ＋ 5 ＋ 4) ＝ 
23       9'5/9***      1'1/6 ÷ 1/2 ＋ (8 － 7/9) ＝ 
24       3*******      3 ＋ (2 ＋ 2) × 0 ＝ 
25       25******      9 ＋ 6 ＋ 2 ＋ 8 ＝ 
26       16/53***      1'3/5 ÷ (3/10 ＋ 1 ＋ 4) ＝ 
27       1'1/2***      6 － (4 － 0) － 1/2 ＝ 
28       132*****      2 × 6 × (5 ＋ 6) ＝ 
29       1*******      7 － (1 × 4 ＋ 2) ＝ 
30       2'16/45*      2/9 ÷ (5 ÷ 8) ＋ 2 ＝ 
31       7'7/8***      1 － 1/8 ＋ 7 ＋ 0 ＝ 
32       2'1/24**      2 ＋ 3 × (1/8 ÷ 9) ＝ 
33       129*****      3 × (8 ＋ 5 × 7) ＝ 
34       0*******      9 × 0 × (3 × 9) ＝ 
35       5*******      9 － (5 － 3 ＋ 2) ＝ 
