题号    四则运算式子
1        1 × 7 × (7 － 2/3) ＝ 
2        2 － 1 ＋ (6 － 1) ＝ 
3        4 ＋ (2 ＋ 3) ÷ 2/5 ＝ 
4        0 － 0 ÷ (1 ÷ 5) ＝ 
5        (9 － 5/9) × 2 ÷ 8/9 ＝ 
6        7 × (3 ＋ 5) ÷ 7 ＝ 
7        6 ÷ (4 × 3) ＋ 8 ＝ 
8        1 ＋ (3 － (9 － 6)) ＝ 
9        2 ÷ (6 ÷ 1 × 1) ＝ 
10       3 － 2 ＋ 9 ÷ 2 ＝ 
11       (9 ＋ (0 ＋ 1)) × 0 ＝ 
12       5 ＋ 3 ÷ 2 × 4 ＝ 
13       7 ÷ (9 － 9 ＋ 7) ＝ 
14       5 ÷ 1 × 1'1/4 ＋ 1 ＝ 
15       5 ÷ 5 × (3 ＋ 4) ＝ 
16       6 × 4 － 8 ＋ 7 ＝ 
17       8 × (3 ÷ 3) × 2 ＝ 
18       8 － 6 － 1/2 ＋ 9/10 ＝ 
19       9 ＋ (1 × 9 ＋ 5/9) ＝ 
20       2 ÷ 4 × (5 × 4) ＝ 
21       6 ＋ 7 － (9 － 3'1/2) ＝ 
22       9 ＋ (1 ＋ 5 ＋ 4) ＝ 
23       1'1/6 ÷ 1/2 ＋ (8 － 7/9) ＝ 
24       3 ＋ (2 ＋ 2) × 0 ＝ 
25       9 ＋ 6 ＋ 2 ＋ 8 ＝ 
26       1'3/5 ÷ (3/10 ＋ 1 ＋ 4) ＝ 
27       6 － (4 － 0) － 1/2 ＝ 
28       2 × 6 × (5 ＋ 6) ＝ 
29       7 － (1 × 4 ＋ 2) ＝ 
30       2/9 ÷ (5 ÷ 8) ＋ 2 ＝ 
31       1 － 1/8 ＋ 7 ＋ 0 ＝ 
32       2 ＋ 3 × (1/8 ÷ 9) ＝ 
33       3 × (8 ＋ 5 × 7) ＝ 
34       9 × 0 × (3 × 9) ＝ 
35       9 － (5 － 3 ＋ 2) ＝ 
36       3 － 3 ＋ 7 － 7 ＝ 
37       8 － 4 － 5 × 2/5 ＝ 
38       1 × 6 ＋ 1/3 － 3 ＝ 
39       6 ＋ 9 ＋ (8 ＋ 2) ＝ 
40       5 × 7 ＋ 7 ＋ 7 ＝ 
41       6 × 3/5 ＋ (2 ＋ 8/9) ＝ 
42       7 ÷ (1'1/2 ＋ 1/3) ÷ 1/2 ＝ 
43       4 ＋ 8 ＋ (6/7 ＋ 0) ＝ 
44       3 × 6 ÷ (2'2/3 × 4) ＝ 
45       1 ＋ 7 × 9 ÷ 2 ＝ 
46       7 × 3 ＋ (2 ＋ 0) ＝ 
47       1 × 2/3 ÷ (5 ÷ 3) ＝ 
48       1/5 × 5/9 ÷ 2 ＋ 6 ＝ 
49       4 × 5/6 ＋ (6 － 2) ＝ 
50       7 × 6 ＋ (1 ＋ 9) ＝ 
